"name","gender","year","count"
"ISABELLA","F",2010,22913
"SOPHIA","F",2010,20643
"EMMA","F",2010,17345
"OLIVIA","F",2010,17028
"AVA","F",2010,15433
"EMILY","F",2010,14274
"ABIGAIL","F",2010,14247
"MADISON","F",2010,13183
"CHLOE","F",2010,11754
"MIA","F",2010,10639
"ADDISON","F",2010,10325
"ELIZABETH","F",2010,10262
"ELLA","F",2010,9876
"NATALIE","F",2010,8777
"SAMANTHA","F",2010,8408
"ALEXIS","F",2010,8265
"LILY","F",2010,7986
"GRACE","F",2010,7683
"HAILEY","F",2010,7019
"ALYSSA","F",2010,6991
"HANNAH","F",2010,6988
"LILLIAN","F",2010,6951
"AVERY","F",2010,6674
"LEAH","F",2010,6537
"NEVAEH","F",2010,6425
"ANNA","F",2010,6329
"SARAH","F",2010,6328
"SOFIA","F",2010,6327
"ASHLEY","F",2010,6314
"BRIANNA","F",2010,6277
"ZOE","F",2010,6269
"VICTORIA","F",2010,6227
"GABRIELLA","F",2010,6178
"BROOKLYN","F",2010,6122
"KAYLEE","F",2010,6098
"TAYLOR","F",2010,5896
"LAYLA","F",2010,5891
"ALLISON","F",2010,5864
"EVELYN","F",2010,5840
"RILEY","F",2010,5538
"AMELIA","F",2010,5455
"KHLOE","F",2010,5405
"MAKAYLA","F",2010,5394
"SAVANNAH","F",2010,5373
"AUBREY","F",2010,5360
"CHARLOTTE","F",2010,5357
"ZOEY","F",2010,5208
"BELLA","F",2010,5123
"KAYLA","F",2010,5055
"ALEXA","F",2010,5040
"PEYTON","F",2010,4968
"AUDREY","F",2010,4951
"CLAIRE","F",2010,4915
"ARIANNA","F",2010,4844
"JULIA","F",2010,4675
"AALIYAH","F",2010,4664
"KYLIE","F",2010,4600
"LAUREN","F",2010,4466
"SOPHIE","F",2010,4414
"SYDNEY","F",2010,4331
"CAMILA","F",2010,4303
"JASMINE","F",2010,4173
"MORGAN","F",2010,4073
"ALEXANDRA","F",2010,4019
"JOCELYN","F",2010,3987
"MAYA","F",2010,3967
"GIANNA","F",2010,3959
"MACKENZIE","F",2010,3880
"KIMBERLY","F",2010,3869
"KATHERINE","F",2010,3866
"DESTINY","F",2010,3731
"BROOKE","F",2010,3703
"TRINITY","F",2010,3699
"FAITH","F",2010,3697
"LUCY","F",2010,3634
"MADELYN","F",2010,3618
"MADELINE","F",2010,3603
"BAILEY","F",2010,3595
"PAYTON","F",2010,3586
"ANDREA","F",2010,3567
"AUTUMN","F",2010,3519
"MELANIE","F",2010,3485
"SERENITY","F",2010,3480
"ARIANA","F",2010,3471
"STELLA","F",2010,3440
"MARIA","F",2010,3416
"MOLLY","F",2010,3362
"CAROLINE","F",2010,3358
"GENESIS","F",2010,3303
"KAITLYN","F",2010,3297
"EVA","F",2010,3277
"JESSICA","F",2010,3198
"ANGELINA","F",2010,3143
"GABRIELLE","F",2010,3141
"NAOMI","F",2010,3131
"VALERIA","F",2010,3115
"MARIAH","F",2010,3108
"NATALIA","F",2010,3045
"RACHEL","F",2010,3017
"PAIGE","F",2010,3011
"MYA","F",2010,2997
"RYLEE","F",2010,2981
"KATELYN","F",2010,2958
"ELLIE","F",2010,2909
"ISABELLE","F",2010,2898
"LILLY","F",2010,2886
"VANESSA","F",2010,2883
"LONDON","F",2010,2871
"MARY","F",2010,2871
"KENNEDY","F",2010,2833
"LYDIA","F",2010,2833
"JORDYN","F",2010,2807
"RUBY","F",2010,2794
"JADE","F",2010,2722
"SCARLETT","F",2010,2716
"ISABEL","F",2010,2656
"ANNABELLE","F",2010,2639
"HARPER","F",2010,2633
"SADIE","F",2010,2633
"SARA","F",2010,2632
"JENNIFER","F",2010,2619
"NICOLE","F",2010,2567
"VIOLET","F",2010,2566
"LILIANA","F",2010,2514
"MICHELLE","F",2010,2506
"STEPHANIE","F",2010,2488
"REAGAN","F",2010,2477
"JADA","F",2010,2474
"ADRIANA","F",2010,2463
"GRACIE","F",2010,2428
"MEGAN","F",2010,2403
"JAYLA","F",2010,2375
"KENDALL","F",2010,2340
"REBECCA","F",2010,2290
"LYLA","F",2010,2289
"AMY","F",2010,2281
"REESE","F",2010,2263
"IZABELLA","F",2010,2252
"KYLEE","F",2010,2249
"LAILA","F",2010,2247
"JENNA","F",2010,2223
"BROOKLYNN","F",2010,2184
"ALIYAH","F",2010,2157
"PIPER","F",2010,2141
"MCKENZIE","F",2010,2131
"JULIANA","F",2010,2128
"GISELLE","F",2010,2089
"GABRIELA","F",2010,2080
"VALERIE","F",2010,2065
"DANIELA","F",2010,2038
"DAISY","F",2010,2019
"VALENTINA","F",2010,2004
"MAKENZIE","F",2010,1996
"HALEY","F",2010,1982
"LILA","F",2010,1969
"MELISSA","F",2010,1949
"ASHLYN","F",2010,1947
"VIVIAN","F",2010,1942
"NORA","F",2010,1937
"ANGELA","F",2010,1914
"KATIE","F",2010,1900
"HAYDEN","F",2010,1891
"ELENA","F",2010,1885
"SUMMER","F",2010,1883
"KEIRA","F",2010,1860
"ELEANOR","F",2010,1850
"CLARA","F",2010,1840
"ELIANA","F",2010,1832
"ALANA","F",2010,1818
"JILLIAN","F",2010,1817
"JACQUELINE","F",2010,1806
"ALICE","F",2010,1779
"ADRIANNA","F",2010,1776
"MIRANDA","F",2010,1774
"ALIVIA","F",2010,1765
"JULIANNA","F",2010,1748
"ANIYAH","F",2010,1737
"JORDAN","F",2010,1727
"EDEN","F",2010,1724
"MIKAYLA","F",2010,1721
"SKYLAR","F",2010,1719
"MARGARET","F",2010,1698
"BRIANA","F",2010,1689
"SHELBY","F",2010,1677
"JOSEPHINE","F",2010,1676
"RYLEIGH","F",2010,1676
"DELILAH","F",2010,1669
"AMANDA","F",2010,1657
"ALLIE","F",2010,1636
"DIANA","F",2010,1621
"ADDYSON","F",2010,1618
"BRIELLE","F",2010,1618
"CATHERINE","F",2010,1611
"ANGEL","F",2010,1608
"DANIELLE","F",2010,1604
"ELISE","F",2010,1587
"ANA","F",2010,1574
"MELODY","F",2010,1573
"LESLIE","F",2010,1565
"PENELOPE","F",2010,1547
"MAKENNA","F",2010,1542
"MARISSA","F",2010,1531
"AURORA","F",2010,1527
"ALEXANDRIA","F",2010,1513
"LEILA","F",2010,1508
"ALAINA","F",2010,1497
"KENDRA","F",2010,1496
"KATE","F",2010,1490
"DELANEY","F",2010,1485
"SIENNA","F",2010,1478
"LOLA","F",2010,1475
"JAYDEN","F",2010,1462
"ARIEL","F",2010,1460
"SIERRA","F",2010,1450
"ERIN","F",2010,1440
"MILEY","F",2010,1440
"CARLY","F",2010,1439
"HADLEY","F",2010,1439
"SABRINA","F",2010,1431
"ALICIA","F",2010,1430
"TESSA","F",2010,1425
"CHELSEA","F",2010,1417
"AMBER","F",2010,1415
"AUBREE","F",2010,1409
"MAGGIE","F",2010,1407
"AMAYA","F",2010,1395
"CADENCE","F",2010,1381
"MCKENNA","F",2010,1378
