"name","gender","year","count"
"EMMA","F",2016,19496
"OLIVIA","F",2016,19365
"AVA","F",2016,16302
"SOPHIA","F",2016,16128
"ISABELLA","F",2016,14795
"MIA","F",2016,14428
"CHARLOTTE","F",2016,13090
"ABIGAIL","F",2016,11760
"EMILY","F",2016,10972
"HARPER","F",2016,10787
"AMELIA","F",2016,10774
"EVELYN","F",2016,10106
"ELIZABETH","F",2016,9555
"SOFIA","F",2016,9167
"MADISON","F",2016,9030
"AVERY","F",2016,8765
"ELLA","F",2016,7908
"SCARLETT","F",2016,7703
"GRACE","F",2016,7594
"CHLOE","F",2016,7461
"VICTORIA","F",2016,7310
"RILEY","F",2016,7141
"ARIA","F",2016,6933
"LILY","F",2016,6592
"AUBREY","F",2016,6533
"ZOEY","F",2016,6444
"PENELOPE","F",2016,6389
"LILLIAN","F",2016,6358
"ADDISON","F",2016,6322
"LAYLA","F",2016,6264
"NATALIE","F",2016,6178
"CAMILA","F",2016,6048
"HANNAH","F",2016,6013
"BROOKLYN","F",2016,5955
"ZOE","F",2016,5743
"NORA","F",2016,5589
"LEAH","F",2016,5415
"SAVANNAH","F",2016,5364
"AUDREY","F",2016,5360
"CLAIRE","F",2016,5209
"ELEANOR","F",2016,5134
"SKYLAR","F",2016,5119
"ELLIE","F",2016,5065
"SAMANTHA","F",2016,4952
"STELLA","F",2016,4930
"VIOLET","F",2016,4866
"PAISLEY","F",2016,4865
"MILA","F",2016,4821
"ANNA","F",2016,4784
"ALLISON","F",2016,4775
"ALEXA","F",2016,4770
"HAZEL","F",2016,4667
"AALIYAH","F",2016,4641
"LUCY","F",2016,4597
"ARIANA","F",2016,4595
"CAROLINE","F",2016,4429
"SARAH","F",2016,4412
"GENESIS","F",2016,4342
"KENNEDY","F",2016,4328
"SADIE","F",2016,4286
"GABRIELLA","F",2016,4244
"MADELYN","F",2016,4231
"ADELINE","F",2016,4115
"MAYA","F",2016,4082
"AUTUMN","F",2016,4027
"AURORA","F",2016,3990
"PIPER","F",2016,3949
"HAILEY","F",2016,3938
"ARIANNA","F",2016,3888
"RUBY","F",2016,3832
"SERENITY","F",2016,3831
"KAYLEE","F",2016,3830
"EVA","F",2016,3799
"NAOMI","F",2016,3795
"NEVAEH","F",2016,3787
"ALICE","F",2016,3682
"LUNA","F",2016,3671
"BELLA","F",2016,3660
"QUINN","F",2016,3646
"LYDIA","F",2016,3613
"PEYTON","F",2016,3502
"MELANIE","F",2016,3482
"KYLIE","F",2016,3410
"AUBREE","F",2016,3409
"MACKENZIE","F",2016,3403
"CORA","F",2016,3371
"KINSLEY","F",2016,3368
"JULIA","F",2016,3331
"MADELINE","F",2016,3277
"TAYLOR","F",2016,3276
"KATHERINE","F",2016,3271
"GIANNA","F",2016,3218
"ELIANA","F",2016,3199
"ELENA","F",2016,3182
"VIVIAN","F",2016,3140
"WILLOW","F",2016,3108
"REAGAN","F",2016,3093
"BRIANNA","F",2016,3088
"CLARA","F",2016,3072
"FAITH","F",2016,3066
"ASHLEY","F",2016,3038
"EMILIA","F",2016,3029
"ISABELLE","F",2016,3029
"ANNABELLE","F",2016,2992
"RYLEE","F",2016,2966
"VALENTINA","F",2016,2916
"EVERLY","F",2016,2891
"HADLEY","F",2016,2880
"SOPHIE","F",2016,2867
"ALEXANDRA","F",2016,2847
"NATALIA","F",2016,2822
"IVY","F",2016,2816
"MARIA","F",2016,2803
"JOSEPHINE","F",2016,2789
"DELILAH","F",2016,2727
"BAILEY","F",2016,2701
"JADE","F",2016,2695
"ALEXIS","F",2016,2683
"XIMENA","F",2016,2679
"ALYSSA","F",2016,2671
"BRIELLE","F",2016,2660
"JASMINE","F",2016,2641
"LILIANA","F",2016,2635
"ADALYNN","F",2016,2590
"KHLOE","F",2016,2536
"ISLA","F",2016,2519
"MARY","F",2016,2508
"ANDREA","F",2016,2477
"KAYLA","F",2016,2462
"EMERY","F",2016,2419
"LONDON","F",2016,2353
"MORGAN","F",2016,2332
"KIMBERLY","F",2016,2330
"LAUREN","F",2016,2322
"SYDNEY","F",2016,2317
"NOVA","F",2016,2281
"TRINITY","F",2016,2227
"LYLA","F",2016,2220
"MARGARET","F",2016,2214
"ARIEL","F",2016,2188
"ADALYN","F",2016,2187
"ATHENA","F",2016,2171
"LILLY","F",2016,2152
"MELODY","F",2016,2137
"ISABEL","F",2016,2113
"JORDYN","F",2016,2105
"JOCELYN","F",2016,2100
