"name","gender","year","count"
"SOPHIA","F",2012,22313
"EMMA","F",2012,20945
"ISABELLA","F",2012,19099
"OLIVIA","F",2012,17316
"AVA","F",2012,15533
"EMILY","F",2012,13649
"ABIGAIL","F",2012,12700
"MIA","F",2012,12023
"MADISON","F",2012,11397
"ELIZABETH","F",2012,9708
"CHLOE","F",2012,9661
"ELLA","F",2012,9203
"AVERY","F",2012,8314
"ADDISON","F",2012,8178
"AUBREY","F",2012,8052
"LILY","F",2012,7960
"NATALIE","F",2012,7894
"SOFIA","F",2012,7831
"CHARLOTTE","F",2012,7479
"ZOEY","F",2012,7471
"GRACE","F",2012,7377
"HANNAH","F",2012,7275
"AMELIA","F",2012,7242
"HARPER","F",2012,7192
"LILLIAN","F",2012,7161
"SAMANTHA","F",2012,6929
"EVELYN","F",2012,6876
"VICTORIA","F",2012,6861
"BROOKLYN","F",2012,6790
"ZOE","F",2012,6457
"LAYLA","F",2012,6265
"HAILEY","F",2012,5910
"LEAH","F",2012,5773
"KAYLEE","F",2012,5621
"ANNA","F",2012,5618
"AALIYAH","F",2012,5508
"GABRIELLA","F",2012,5500
"ALLISON","F",2012,5426
"NEVAEH","F",2012,5392
"ALEXIS","F",2012,5358
"AUDREY","F",2012,5297
"SAVANNAH","F",2012,5191
"SARAH","F",2012,5190
"ALYSSA","F",2012,5086
"CLAIRE","F",2012,4944
"TAYLOR","F",2012,4864
"RILEY","F",2012,4830
"CAMILA","F",2012,4789
"ARIANNA","F",2012,4723
"ASHLEY","F",2012,4699
"BRIANNA","F",2012,4636
"SOPHIE","F",2012,4577
"PEYTON","F",2012,4472
"BELLA","F",2012,4351
"KHLOE","F",2012,4312
"GENESIS","F",2012,4300
"ALEXA","F",2012,4294
"SERENITY","F",2012,4233
"KYLIE","F",2012,4171
"AUBREE","F",2012,4049
"SCARLETT","F",2012,4043
"STELLA","F",2012,3999
"MAYA","F",2012,3977
"KATHERINE","F",2012,3951
"JULIA","F",2012,3878
"LUCY","F",2012,3810
"MADELYN","F",2012,3793
"AUTUMN","F",2012,3777
"KAYLA","F",2012,3770
"MAKAYLA","F",2012,3770
"MACKENZIE","F",2012,3758
"LAUREN","F",2012,3658
"GIANNA","F",2012,3625
"ARIANA","F",2012,3585
"FAITH","F",2012,3546
"ALEXANDRA","F",2012,3482
"MELANIE","F",2012,3465
"SYDNEY","F",2012,3453
"NAOMI","F",2012,3421
"CAROLINE","F",2012,3415
"BAILEY","F",2012,3408
"MORGAN","F",2012,3399
"KENNEDY","F",2012,3384
"ELLIE","F",2012,3383
"JASMINE","F",2012,3382
"EVA","F",2012,3365
"SKYLAR","F",2012,3344
"KIMBERLY","F",2012,3313
"VIOLET","F",2012,3277
"MOLLY","F",2012,3259
"TRINITY","F",2012,3238
"ARIA","F",2012,3230
"JOCELYN","F",2012,3230
"LONDON","F",2012,3199
"LYDIA","F",2012,3168
"MADELINE","F",2012,3160
"REAGAN","F",2012,3087
"PIPER","F",2012,3067
"ANNABELLE","F",2012,3056
"ANDREA","F",2012,3050
"MARIA","F",2012,3031
"BROOKE","F",2012,2974
"PAYTON","F",2012,2940
"PAISLEY","F",2012,2919
"PAIGE","F",2012,2913
"RUBY","F",2012,2912
"MARIAH","F",2012,2893
"NORA","F",2012,2888
"RYLEE","F",2012,2796
"LILLY","F",2012,2786
"BRIELLE","F",2012,2768
"JADE","F",2012,2735
"DESTINY","F",2012,2717
"NICOLE","F",2012,2654
"MILA","F",2012,2641
"KENDALL","F",2012,2624
"LILIANA","F",2012,2622
"KAITLYN","F",2012,2600
"SADIE","F",2012,2591
"NATALIA","F",2012,2590
"MARY","F",2012,2576
"JORDYN","F",2012,2566
"VANESSA","F",2012,2552
"MYA","F",2012,2546
"PENELOPE","F",2012,2534
"ISABELLE","F",2012,2503
"ALICE","F",2012,2501
"REESE","F",2012,2459
"GABRIELLE","F",2012,2419
"HADLEY","F",2012,2418
"KATELYN","F",2012,2415
"RACHEL","F",2012,2415
"ANGELINA","F",2012,2406
"ISABEL","F",2012,2382
"ELEANOR","F",2012,2377
"CLARA","F",2012,2333
"JESSICA","F",2012,2332
"BROOKLYNN","F",2012,2325
"ELENA","F",2012,2271
"VIVIAN","F",2012,2261
"ALIYAH","F",2012,2258
"SARA","F",2012,2255
"ELIANA","F",2012,2249
"LAILA","F",2012,2248
"AMY","F",2012,2233
"LYLA","F",2012,2223
"JULIANA","F",2012,2216
"ADRIANA","F",2012,2149
"VALERIA","F",2012,2142
"MAKENZIE","F",2012,2123
"ELISE","F",2012,2121
"MCKENZIE","F",2012,2119
"QUINN","F",2012,2108
"DELILAH","F",2012,2091
"CORA","F",2012,2079
"KYLEE","F",2012,2051
"REBECCA","F",2012,2013
"GRACIE","F",2012,2002
"IZABELLA","F",2012,1969
"JOSEPHINE","F",2012,1953
"EDEN","F",2012,1934
"ALAINA","F",2012,1932
"MICHELLE","F",2012,1931
"JENNIFER","F",2012,1923
"CATHERINE","F",2012,1911
"AURORA","F",2012,1903
"VALENTINA","F",2012,1902
"STEPHANIE","F",2012,1885
"VALERIE","F",2012,1863
"JAYLA","F",2012,1842
"WILLOW","F",2012,1831
"HAZEL","F",2012,1784
"MELODY","F",2012,1784
"DAISY","F",2012,1783
"ALANA","F",2012,1778
