"name","gender","year","count"
"SOPHIA","F",2011,21842
"ISABELLA","F",2011,19910
"EMMA","F",2011,18803
"OLIVIA","F",2011,17322
"AVA","F",2011,15503
"EMILY","F",2011,14258
"ABIGAIL","F",2011,13248
"MADISON","F",2011,12389
"MIA","F",2011,11530
"CHLOE","F",2011,10991
"ELIZABETH","F",2011,10091
"ELLA","F",2011,9590
"ADDISON","F",2011,9302
"NATALIE","F",2011,8638
"LILY","F",2011,8180
"GRACE","F",2011,7633
"SAMANTHA","F",2011,7395
"AVERY","F",2011,7341
"SOFIA","F",2011,7328
"AUBREY","F",2011,7177
"BROOKLYN","F",2011,7167
"LILLIAN","F",2011,6921
"VICTORIA","F",2011,6887
"EVELYN","F",2011,6707
"HANNAH","F",2011,6571
"ALEXIS","F",2011,6524
"CHARLOTTE","F",2011,6427
"ZOEY","F",2011,6401
"LEAH","F",2011,6392
"AMELIA","F",2011,6369
"ZOE","F",2011,6305
"HAILEY","F",2011,6274
"NEVAEH","F",2011,6106
"GABRIELLA","F",2011,6097
"LAYLA","F",2011,6080
"KAYLEE","F",2011,6044
"ALYSSA","F",2011,6018
"ANNA","F",2011,5663
"SARAH","F",2011,5556
"ALLISON","F",2011,5466
"SAVANNAH","F",2011,5450
"ASHLEY","F",2011,5398
"AUDREY","F",2011,5210
"TAYLOR","F",2011,5189
"BRIANNA","F",2011,5181
"AALIYAH","F",2011,5120
"RILEY","F",2011,5033
"CAMILA","F",2011,4968
"KHLOE","F",2011,4956
"CLAIRE","F",2011,4896
"SOPHIE","F",2011,4728
"ARIANNA","F",2011,4688
"PEYTON","F",2011,4675
"HARPER","F",2011,4674
"ALEXA","F",2011,4506
"MAKAYLA","F",2011,4452
"JULIA","F",2011,4348
"KYLIE","F",2011,4346
"KAYLA","F",2011,4327
"BELLA","F",2011,4266
"KATHERINE","F",2011,4186
"LAUREN","F",2011,4098
"GIANNA","F",2011,4066
"MAYA","F",2011,4018
"SYDNEY","F",2011,3973
"SERENITY","F",2011,3859
"KIMBERLY","F",2011,3809
"MACKENZIE","F",2011,3795
"AUTUMN","F",2011,3762
"JOCELYN","F",2011,3729
"FAITH","F",2011,3727
"LUCY","F",2011,3701
"JASMINE","F",2011,3698
"STELLA","F",2011,3694
"MORGAN","F",2011,3671
"ALEXANDRA","F",2011,3628
"TRINITY","F",2011,3622
"MOLLY","F",2011,3615
"MADELYN","F",2011,3602
"SCARLETT","F",2011,3558
"GENESIS","F",2011,3511
"ANDREA","F",2011,3510
"EVA","F",2011,3466
"ARIANA","F",2011,3452
"MADELINE","F",2011,3428
"BROOKE","F",2011,3369
"CAROLINE","F",2011,3369
"BAILEY","F",2011,3312
"MELANIE","F",2011,3286
"DESTINY","F",2011,3264
"KENNEDY","F",2011,3244
"MARIA","F",2011,3217
"NAOMI","F",2011,3190
"LONDON","F",2011,3164
"PAYTON","F",2011,3148
"LYDIA","F",2011,3084
"ELLIE","F",2011,3062
"MARIAH","F",2011,2988
"AUBREE","F",2011,2938
"KAITLYN","F",2011,2906
"VIOLET","F",2011,2900
"RYLEE","F",2011,2873
"LILLY","F",2011,2869
"ANGELINA","F",2011,2860
"MYA","F",2011,2860
"KATELYN","F",2011,2842
"PAIGE","F",2011,2814
"NATALIA","F",2011,2800
"RUBY","F",2011,2766
"PIPER","F",2011,2734
"ANNABELLE","F",2011,2728
"MARY","F",2011,2706
"JADE","F",2011,2671
"ISABELLE","F",2011,2665
"LILIANA","F",2011,2661
"RACHEL","F",2011,2656
"NICOLE","F",2011,2655
"GABRIELLE","F",2011,2622
"JESSICA","F",2011,2620
"VANESSA","F",2011,2619
"JORDYN","F",2011,2611
"REAGAN","F",2011,2608
"SADIE","F",2011,2596
"KENDALL","F",2011,2595
"VALERIA","F",2011,2539
"BRIELLE","F",2011,2504
"LYLA","F",2011,2414
"ISABEL","F",2011,2412
"BROOKLYNN","F",2011,2410
"SARA","F",2011,2391
"REESE","F",2011,2381
"ADRIANA","F",2011,2320
"ALIYAH","F",2011,2299
"JENNIFER","F",2011,2278
"MCKENZIE","F",2011,2243
"GRACIE","F",2011,2240
"NORA","F",2011,2234
"KYLEE","F",2011,2218
"MAKENZIE","F",2011,2205
"IZABELLA","F",2011,2196
"LAILA","F",2011,2196
"ALICE","F",2011,2192
"AMY","F",2011,2190
"MICHELLE","F",2011,2177
"SKYLAR","F",2011,2157
"STEPHANIE","F",2011,2147
"JULIANA","F",2011,2127
"REBECCA","F",2011,2115
"JAYLA","F",2011,2086
"ELEANOR","F",2011,2083
"CLARA","F",2011,2074
"GISELLE","F",2011,2037
"VIVIAN","F",2011,2021
"VALENTINA","F",2011,2017
"ELIANA","F",2011,2011
"ALAINA","F",2011,1998
"ARIA","F",2011,1980
"VALERIE","F",2011,1957
"HALEY","F",2011,1948
"ELENA","F",2011,1937
"CATHERINE","F",2011,1934
"ELISE","F",2011,1934
"LILA","F",2011,1920
"MEGAN","F",2011,1912
"GABRIELA","F",2011,1908
"JADA","F",2011,1898
"DAISY","F",2011,1892
"PENELOPE","F",2011,1871
"DANIELA","F",2011,1870
"JENNA","F",2011,1841
"ASHLYN","F",2011,1832
"DELILAH","F",2011,1831
"SUMMER","F",2011,1815
"MILA","F",2011,1798
"KATE","F",2011,1791
"KEIRA","F",2011,1789
"ADRIANNA","F",2011,1776
"HADLEY","F",2011,1758
"JULIANNA","F",2011,1738
"MACI","F",2011,1732
"EDEN","F",2011,1730
"JOSEPHINE","F",2011,1730
"AURORA","F",2011,1725
"MELISSA","F",2011,1708
"ALANA","F",2011,1701
"MARGARET","F",2011,1699
"HAYDEN","F",2011,1692
"QUINN","F",2011,1692
"ANGELA","F",2011,1677
"ALIVIA","F",2011,1666
"KATIE","F",2011,1666
"BRYNN","F",2011,1664
"RYLEIGH","F",2011,1647
"PAISLEY","F",2011,1643
"KINLEY","F",2011,1639
"JORDAN","F",2011,1635
"ANIYAH","F",2011,1585
"ALLIE","F",2011,1576
"WILLOW","F",2011,1571
"MIRANDA","F",2011,1569
"JACQUELINE","F",2011,1559
"MELODY","F",2011,1558
"CORA","F",2011,1552
"DIANA","F",2011,1544
"ALEXANDRIA","F",2011,1528
"MIKAYLA","F",2011,1522
"DANIELLE","F",2011,1499
"LONDYN","F",2011,1487
"ADDYSON","F",2011,1481
"AMAYA","F",2011,1481
"HAZEL","F",2011,1480
"ANGEL","F",2011,1475
"CALLIE","F",2011,1474
"TEAGAN","F",2011,1470
"ADALYN","F",2011,1465
"XIMENA","F",2011,1464
"KINSLEY","F",2011,1459
"SHELBY","F",2011,1459
"MAKENNA","F",2011,1450
"ARIEL","F",2011,1438
"JILLIAN","F",2011,1430
"CHELSEA","F",2011,1425
"HARMONY","F",2011,1419
"AMANDA","F",2011,1411
"ALAYNA","F",2011,1406
"SIENNA","F",2011,1404
"PRESLEY","F",2011,1394
"TESSA","F",2011,1391
"HOPE","F",2011,1388
"MAGGIE","F",2011,1388
"LEILA","F",2011,1376
"GENEVIEVE","F",2011,1364
"ERIN","F",2011,1351
"ESTHER","F",2011,1350
"BRIANA","F",2011,1338
"DELANEY","F",2011,1337
"KATHRYN","F",2011,1336
"MCKENNA","F",2011,1333
"ANA","F",2011,1332
"LUCIA","F",2011,1326
"CAMILLE","F",2011,1316
"CECILIA","F",2011,1316
"LOLA","F",2011,1313
"LEILANI","F",2011,1303
"ASHLYNN","F",2011,1286
"LESLIE","F",2011,1285
"KAYLEIGH","F",2011,1284
"CARLY","F",2011,1276
"JULIET","F",2011,1275
"ALONDRA","F",2011,1274
"HAYLEE","F",2011,1274
"ALISON","F",2011,1271
"LEXI","F",2011,1270
"KELSEY","F",2011,1263
"ELIZA","F",2011,1256
"JOSIE","F",2011,1244
"MARISSA","F",2011,1240
"AMBER","F",2011,1235
"MARLEY","F",2011,1234
"SABRINA","F",2011,1230
"ALICIA","F",2011,1229
"KAYDENCE","F",2011,1219
"NORAH","F",2011,1217
"IVY","F",2011,1213
"ALLYSON","F",2011,1212
"ALINA","F",2011,1210
"FIONA","F",2011,1210
"ISLA","F",2011,1208
"NADIA","F",2011,1182
"CHRISTINA","F",2011,1179
"EMERY","F",2011,1172
"KYLEIGH","F",2011,1172
"LAURA","F",2011,1169
"CHEYENNE","F",2011,1159
"EMERSON","F",2011,1150
"ALEXIA","F",2011,1149
"SIERRA","F",2011,1147
"CADENCE","F",2011,1146
"LUNA","F",2011,1144
"DANIELLA","F",2011,1141
"FATIMA","F",2011,1129
"CASSIDY","F",2011,1125
"BIANCA","F",2011,1120
"VERONICA","F",2011,1113
"EVANGELINE","F",2011,1109
"KYLA","F",2011,1109
"ADELINE","F",2011,1103
"KAREN","F",2011,1103
"MALLORY","F",2011,1098
"ROSE","F",2011,1098
"JAZMINE","F",2011,1092
"JAYDEN","F",2011,1072
"KENDRA","F",2011,1070
"DAKOTA","F",2011,1067
"CAMRYN","F",2011,1064
"MACY","F",2011,1064
"ABBY","F",2011,1063
"MARIANA","F",2011,1062
"MADILYN","F",2011,1057
"ADELYN","F",2011,1056
"GIA","F",2011,1056
"JAZMIN","F",2011,1053
"IRIS","F",2011,1051
"NINA","F",2011,1048
"GEORGIA","F",2011,1045
"LILAH","F",2011,1044
"JAYDA","F",2011,1026
"BREANNA","F",2011,1025
"KENZIE","F",2011,1023
"PHOEBE","F",2011,1022
"LILLIANA","F",2011,1014
"MALIA","F",2011,1010
"ATHENA","F",2011,1009
"KAMRYN","F",2011,1005
"NYLA","F",2011,1000
"MILEY","F",2011,991
"HEAVEN","F",2011,988
"AUDRINA","F",2011,984
"KIARA","F",2011,984
"SELENA","F",2011,982
"MADELEINE","F",2011,980
"MADDISON","F",2011,979
"JOANNA","F",2011,975
"LYRIC","F",2011,975
"EMILIA","F",2011,972
"GIULIANA","F",2011,972
"ANNABELLA","F",2011,966
"ADALYNN","F",2011,965
"FERNANDA","F",2011,961
"AUBRIE","F",2011,958
"HEIDI","F",2011,953
"KIRA","F",2011,946
"ESMERALDA","F",2011,944
"ARABELLA","F",2011,943
"KELLY","F",2011,942
"MIRIAM","F",2011,942
"ELLIANA","F",2011,939
