"name","gender","year","count"
"SOPHIA","F",2013,21223
"EMMA","F",2013,20942
"OLIVIA","F",2013,18428
"ISABELLA","F",2013,17642
"AVA","F",2013,15252
"MIA","F",2013,13152
"EMILY","F",2013,13126
"ABIGAIL","F",2013,12409
"MADISON","F",2013,10596
"ELIZABETH","F",2013,9454
"CHARLOTTE","F",2013,9300
"AVERY","F",2013,9176
"SOFIA","F",2013,9160
"CHLOE","F",2013,8788
"ELLA","F",2013,8448
"HARPER","F",2013,8280
"AMELIA","F",2013,8036
"AUBREY","F",2013,7969
"ADDISON","F",2013,7728
"EVELYN","F",2013,7662
"NATALIE","F",2013,7478
"GRACE","F",2013,7378
"HANNAH","F",2013,7298
"ZOEY","F",2013,7242
"VICTORIA","F",2013,7204
"LILLIAN","F",2013,7072
"LILY","F",2013,6989
"BROOKLYN","F",2013,6896
"SAMANTHA","F",2013,6505
"LAYLA","F",2013,6479
"ZOE","F",2013,5971
"LEAH","F",2013,5605
"AUDREY","F",2013,5600
"ALLISON","F",2013,5438
"ANNA","F",2013,5380
"SAVANNAH","F",2013,5245
"AALIYAH","F",2013,5233
"GABRIELLA","F",2013,5212
"CAMILA","F",2013,5144
"KAYLEE","F",2013,5122
"ARIA","F",2013,5112
"SCARLETT","F",2013,5050
"HAILEY","F",2013,5020
"ARIANNA","F",2013,4996
"RILEY","F",2013,4935
"ALEXIS","F",2013,4777
"NEVAEH","F",2013,4760
"SARAH","F",2013,4701
"CLAIRE","F",2013,4656
"SADIE","F",2013,4652
"PEYTON","F",2013,4567
"SERENITY","F",2013,4454
"AUBREE","F",2013,4443
"ARIANA","F",2013,4414
"GENESIS","F",2013,4299
"PENELOPE","F",2013,4289
"ALYSSA","F",2013,4201
"BELLA","F",2013,4173
"TAYLOR","F",2013,4138
"ALEXA","F",2013,4100
"KYLIE","F",2013,4027
"MACKENZIE","F",2013,4015
"CAROLINE","F",2013,3980
"KENNEDY","F",2013,3955
"AUTUMN","F",2013,3953
"LUCY","F",2013,3946
"MADELYN","F",2013,3938
"ASHLEY","F",2013,3937
"VIOLET","F",2013,3931
"STELLA","F",2013,3909
"BRIANNA","F",2013,3905
"MAYA","F",2013,3820
"SKYLAR","F",2013,3788
"ELLIE","F",2013,3762
"JULIA","F",2013,3749
"SOPHIE","F",2013,3749
"KATHERINE","F",2013,3719
"MILA","F",2013,3677
"KHLOE","F",2013,3673
"PAISLEY","F",2013,3601
"ANNABELLE","F",2013,3557
"NORA","F",2013,3508
"ALEXANDRA","F",2013,3506
"MELANIE","F",2013,3470
"LONDON","F",2013,3456
"NAOMI","F",2013,3445
"GIANNA","F",2013,3441
"EVA","F",2013,3430
"FAITH","F",2013,3412
"MADELINE","F",2013,3370
"NICOLE","F",2013,3350
"LAUREN","F",2013,3345
"RUBY","F",2013,3313
"MAKAYLA","F",2013,3288
"KAYLA","F",2013,3256
"LYDIA","F",2013,3256
"PIPER","F",2013,3189
"SYDNEY","F",2013,3172
"JOCELYN","F",2013,3150
"MORGAN","F",2013,3115
"KIMBERLY","F",2013,3102
"MOLLY","F",2013,3082
"JASMINE","F",2013,3054
"REAGAN","F",2013,3038
"BAILEY","F",2013,3013
"ELEANOR","F",2013,3008
"ALICE","F",2013,2935
"TRINITY","F",2013,2920
"RYLEE","F",2013,2898
"HADLEY","F",2013,2827
"MARIA","F",2013,2816
"ANDREA","F",2013,2815
"MARIAH","F",2013,2762
"ISABELLE","F",2013,2757
"BROOKE","F",2013,2751
"MYA","F",2013,2697
"BRIELLE","F",2013,2688
"MARY","F",2013,2651
"VIVIAN","F",2013,2650
"QUINN","F",2013,2648
"NATALIA","F",2013,2629
"PAYTON","F",2013,2615
"LILIANA","F",2013,2614
"LILLY","F",2013,2610
"ELIANA","F",2013,2607
"JADE","F",2013,2585
"CORA","F",2013,2584
"PAIGE","F",2013,2574
"VALENTINA","F",2013,2563
"KENDALL","F",2013,2516
"CLARA","F",2013,2504
"ELENA","F",2013,2390
"JORDYN","F",2013,2385
"KAITLYN","F",2013,2377
"DELILAH","F",2013,2342
