"name","gender","year","count"
"EMMA","F",2015,20455
"OLIVIA","F",2015,19691
"SOPHIA","F",2015,17417
"AVA","F",2015,16378
"ISABELLA","F",2015,15617
"MIA","F",2015,14905
"ABIGAIL","F",2015,12401
"EMILY","F",2015,11786
"CHARLOTTE","F",2015,11398
"HARPER","F",2015,10295
"MADISON","F",2015,10088
"AMELIA","F",2015,9861
"ELIZABETH","F",2015,9730
"SOFIA","F",2015,9690
"EVELYN","F",2015,9363
"AVERY","F",2015,9342
"CHLOE","F",2015,7930
"ELLA","F",2015,7902
"GRACE","F",2015,7656
"VICTORIA","F",2015,7609
"AUBREY","F",2015,7386
"SCARLETT","F",2015,7131
"ZOEY","F",2015,6944
"ADDISON","F",2015,6721
"LILY","F",2015,6661
"LILLIAN","F",2015,6612
"NATALIE","F",2015,6500
"HANNAH","F",2015,6414
"ARIA","F",2015,6405
"LAYLA","F",2015,6330
"BROOKLYN","F",2015,6311
"ALEXA","F",2015,6052
"ZOE","F",2015,6041
"PENELOPE","F",2015,5949
"RILEY","F",2015,5730
"LEAH","F",2015,5618
"AUDREY","F",2015,5603
"SAVANNAH","F",2015,5456
"ALLISON","F",2015,5346
"SAMANTHA","F",2015,5340
"NORA","F",2015,5323
"SKYLAR","F",2015,5281
"CAMILA","F",2015,5274
"ANNA","F",2015,5130
"PAISLEY","F",2015,5078
"ARIANA","F",2015,4958
"AALIYAH","F",2015,4863
"ELLIE","F",2015,4862
"CLAIRE","F",2015,4829
"VIOLET","F",2015,4813
"STELLA","F",2015,4792
"SADIE","F",2015,4752
"MILA","F",2015,4730
"GABRIELLA","F",2015,4622
"LUCY","F",2015,4547
"ARIANNA","F",2015,4530
"SARAH","F",2015,4521
"KENNEDY","F",2015,4519
"MADELYN","F",2015,4481
"ELEANOR","F",2015,4434
"KAYLEE","F",2015,4363
"CAROLINE","F",2015,4329
"HAZEL","F",2015,4297
"HAILEY","F",2015,4247
"GENESIS","F",2015,4160
"KYLIE","F",2015,4153
"PIPER","F",2015,4130
"MAYA","F",2015,4125
"AUTUMN","F",2015,4114
"NEVAEH","F",2015,4002
"SERENITY","F",2015,3985
"PEYTON","F",2015,3902
"MACKENZIE","F",2015,3858
"BELLA","F",2015,3794
"EVA","F",2015,3761
"NAOMI","F",2015,3761
"TAYLOR","F",2015,3746
"AURORA","F",2015,3642
"AUBREE","F",2015,3630
"LYDIA","F",2015,3498
"MELANIE","F",2015,3493
"BRIANNA","F",2015,3469
"RUBY","F",2015,3462
"KATHERINE","F",2015,3445
"ASHLEY","F",2015,3424
"ALEXIS","F",2015,3418
"ALICE","F",2015,3418
"CORA","F",2015,3401
"JULIA","F",2015,3373
"MADELINE","F",2015,3335
"FAITH","F",2015,3325
"ANNABELLE","F",2015,3273
"ALYSSA","F",2015,3252
"ISABELLE","F",2015,3217
"VIVIAN","F",2015,3201
"GIANNA","F",2015,3177
"QUINN","F",2015,3090
"CLARA","F",2015,3064
"REAGAN","F",2015,3055
"ALEXANDRA","F",2015,3001
"KHLOE","F",2015,3001
"ELIANA","F",2015,2984
"HADLEY","F",2015,2973
"SOPHIE","F",2015,2941
"LONDON","F",2015,2915
"ELENA","F",2015,2891
"BAILEY","F",2015,2844
"KIMBERLY","F",2015,2838
"MARIA","F",2015,2825
"JASMINE","F",2015,2803
"WILLOW","F",2015,2803
"LUNA","F",2015,2802
"KINSLEY","F",2015,2777
"VALENTINA","F",2015,2748
"KAYLA","F",2015,2736
"DELILAH","F",2015,2731
"ANDREA","F",2015,2706
"NATALIA","F",2015,2696
"LAUREN","F",2015,2692
"MORGAN","F",2015,2684
"RYLEE","F",2015,2680
"SYDNEY","F",2015,2659
"MARY","F",2015,2631
"ADALYNN","F",2015,2618
"XIMENA","F",2015,2601
"JADE","F",2015,2564
"LILIANA","F",2015,2558
