"name","gender","year","count"
"EMMA","F",2017,19800
"OLIVIA","F",2017,18703
"AVA","F",2017,15958
"ISABELLA","F",2017,15180
"SOPHIA","F",2017,14883
"MIA","F",2017,13470
"CHARLOTTE","F",2017,12937
"AMELIA","F",2017,11833
"EVELYN","F",2017,10712
"ABIGAIL","F",2017,10607
"HARPER","F",2017,10487
"EMILY","F",2017,9781
"ELIZABETH","F",2017,8955
"AVERY","F",2017,8205
"SOFIA","F",2017,8160
"ELLA","F",2017,8046
"MADISON","F",2017,7875
"SCARLETT","F",2017,7702
"VICTORIA","F",2017,7292
"ARIA","F",2017,7149
"GRACE","F",2017,7040
"CHLOE","F",2017,6944
"CAMILA","F",2017,6766
"PENELOPE","F",2017,6652
"RILEY","F",2017,6353
"LAYLA","F",2017,6303
"LILLIAN","F",2017,6160
"NORA","F",2017,6055
"ZOEY","F",2017,6045
"MILA","F",2017,5964
"AUBREY","F",2017,5911
"HANNAH","F",2017,5907
"LILY","F",2017,5837
"ADDISON","F",2017,5616
"ELEANOR","F",2017,5537
"NATALIE","F",2017,5534
"LUNA","F",2017,5344
"SAVANNAH","F",2017,5238
"BROOKLYN","F",2017,5186
"LEAH","F",2017,5175
"ZOE","F",2017,5158
"STELLA","F",2017,5055
"HAZEL","F",2017,5023
"ELLIE","F",2017,5005
"PAISLEY","F",2017,4940
"AUDREY","F",2017,4825
"VIOLET","F",2017,4719
"SKYLAR","F",2017,4718
"CLAIRE","F",2017,4693
"BELLA","F",2017,4638
"AURORA","F",2017,4591
"LUCY","F",2017,4587
"ANNA","F",2017,4544
"SAMANTHA","F",2017,4318
"CAROLINE","F",2017,4283
"GENESIS","F",2017,4254
"AALIYAH","F",2017,4174
"KENNEDY","F",2017,4152
"KINSLEY","F",2017,4044
"MAYA","F",2017,4028
"ALLISON","F",2017,4027
"SARAH","F",2017,4009
"MADELYN","F",2017,3953
"ADELINE","F",2017,3920
"ALEXA","F",2017,3891
"GABRIELLA","F",2017,3879
"ARIANA","F",2017,3876
"ELENA","F",2017,3873
"NAOMI","F",2017,3841
"ALICE","F",2017,3816
"SADIE","F",2017,3710
"HAILEY","F",2017,3699
"EVA","F",2017,3629
"AUTUMN","F",2017,3594
"EMILIA","F",2017,3589
"QUINN","F",2017,3589
"NEVAEH","F",2017,3584
"RUBY","F",2017,3566
"SERENITY","F",2017,3559
"PIPER","F",2017,3555
"WILLOW","F",2017,3551
"EVERLY","F",2017,3516
"CORA","F",2017,3441
"KAYLEE","F",2017,3403
"LYDIA","F",2017,3327
"AUBREE","F",2017,3316
"ARIANNA","F",2017,3276
"ELIANA","F",2017,3269
"PEYTON","F",2017,3250
"MELANIE","F",2017,3232
"GIANNA","F",2017,3189
"ISABELLE","F",2017,3157
"JULIA","F",2017,3116
"VALENTINA","F",2017,3037
"NOVA","F",2017,3036
"CLARA","F",2017,3035
"VIVIAN","F",2017,3023
"REAGAN","F",2017,3001
"MADELINE","F",2017,2952
"MACKENZIE","F",2017,2950
"BRIELLE","F",2017,2891
"DELILAH","F",2017,2882
"ISLA","F",2017,2874
"KATHERINE","F",2017,2853
"RYLEE","F",2017,2853
"SOPHIE","F",2017,2831
"JOSEPHINE","F",2017,2813
"IVY","F",2017,2770
"LILIANA","F",2017,2757
"JADE","F",2017,2732
"MARIA","F",2017,2707
"HADLEY","F",2017,2706
"TAYLOR","F",2017,2699
"KYLIE","F",2017,2695
"EMERY","F",2017,2692
"ADALYNN","F",2017,2659
"FAITH","F",2017,2620
"ANNABELLE","F",2017,2614
"NATALIA","F",2017,2609
"ALEXANDRA","F",2017,2600
"XIMENA","F",2017,2542
"ASHLEY","F",2017,2524
"BRIANNA","F",2017,2511
"RAELYNN","F",2017,2448
"BAILEY","F",2017,2423
"MARY","F",2017,2402
"ATHENA","F",2017,2372
"ANDREA","F",2017,2319
"LEILANI","F",2017,2272
