"name","gender","year","count"
"PAIGE","F",2018,1443
"REBECCA","F",2018,1442
"ANA","F",2018,1440
"SAWYER","F",2018,1421
"MARIAH","F",2018,1416
"NICOLE","F",2018,1416
"BROOKLYNN","F",2018,1415
"PAYTON","F",2018,1413
"MARLEY","F",2018,1410
"FIONA","F",2018,1408
"GEORGIA","F",2018,1406
"LILA","F",2018,1395
"HARLEY","F",2018,1393
"ADELYN","F",2018,1375
"ALIVIA","F",2018,1373
"NOELLE","F",2018,1371
"GEMMA","F",2018,1369
"VANESSA","F",2018,1369
"JOURNEY","F",2018,1363
"MAKAYLA","F",2018,1362
"ANGELINA","F",2018,1360
"ADALINE","F",2018,1359
"CATALINA","F",2018,1358
"ALAYNA","F",2018,1354
"JULIANNA","F",2018,1354
"LEILA","F",2018,1352
"LOLA","F",2018,1352
"ADRIANA","F",2018,1347
"JUNE","F",2018,1342
"JULIET","F",2018,1336
"JAYLA","F",2018,1334
"RIVER","F",2018,1321
"TESSA","F",2018,1315
"LIA","F",2018,1310
"DAKOTA","F",2018,1307
"DELANEY","F",2018,1306
"SELENA","F",2018,1306
"BLAKELY","F",2018,1304
"ADA","F",2018,1288
"CAMILLE","F",2018,1277
"ZARA","F",2018,1275
"MALIA","F",2018,1266
"HOPE","F",2018,1265
"SAMARA","F",2018,1261
"VERA","F",2018,1257
"MCKENNA","F",2018,1254
"BRIELLA","F",2018,1248
"IZABELLA","F",2018,1246
"HAYDEN","F",2018,1243
"RAEGAN","F",2018,1241
"MICHELLE","F",2018,1239
"ANGELA","F",2018,1236
"RUTH","F",2018,1234
"FREYA","F",2018,1231
"KAMILA","F",2018,1230
"VIVIENNE","F",2018,1226
"ASPEN","F",2018,1223
"OLIVE","F",2018,1222
"KENDALL","F",2018,1209
"ELAINA","F",2018,1205
"THEA","F",2018,1194
"KALI","F",2018,1193
"DESTINY","F",2018,1189
"AMIYAH","F",2018,1186
"EVANGELINE","F",2018,1185
"CALI","F",2018,1182
"BLAKE","F",2018,1181
"ELSIE","F",2018,1178
"JUNIPER","F",2018,1173
"ALEXANDRIA","F",2018,1165
"MYLA","F",2018,1163
"ARIELLA","F",2018,1161
"KATE","F",2018,1156
"MARIANA","F",2018,1148
"LILAH","F",2018,1145
"CHARLEE","F",2018,1141
"DALEYZA","F",2018,1126
"NYLA","F",2018,1126
"JANE","F",2018,1123
"MAGGIE","F",2018,1122
"ZURI","F",2018,1122
"ANIYAH","F",2018,1118
"LUCILLE","F",2018,1115
"LEIA","F",2018,1114
"MELISSA","F",2018,1114
"ADELAIDE","F",2018,1111
"AMINA","F",2018,1109
"GISELLE","F",2018,1104
"LENA","F",2018,1094
"CAMILLA","F",2018,1088
"MIRIAM","F",2018,1088
"MILLIE","F",2018,1087
"BRYNN","F",2018,1084
"GABRIELLE","F",2018,1084
"SAGE","F",2018,1083
"ANNIE","F",2018,1080
"LOGAN","F",2018,1074
"LILLIANA","F",2018,1066
"HAVEN","F",2018,1058
"JESSICA","F",2018,1057
"KAIA","F",2018,1057
"MAGNOLIA","F",2018,1041
"AMIRA","F",2018,1035
"ADELYNN","F",2018,1029
"MAKENZIE","F",2018,1026
"STEPHANIE","F",2018,1026
"NINA","F",2018,1020
"PHOEBE","F",2018,1018
"ARIELLE","F",2018,1009
"EVIE","F",2018,1008
"LYRIC","F",2018,1007
"ALESSANDRA","F",2018,1006
"GABRIELA","F",2018,993
"PAISLEE","F",2018,989
"RAELYN","F",2018,986
"MADILYN","F",2018,983
"PARIS","F",2018,979
"MAKENNA","F",2018,978
"KINLEY","F",2018,976
